case_id,split,allowed_use,image_number,parameter_status,source_workbook,source_sheet,source_row,trial_id,source_video_filename,source_video_filename_corrected,source_object_kind_zh,object_kind_zh,object_kind_correction,ball_diameter_m,ball_mass_kg,launch_height_m,photogate_position,photogate_distance_before_launch_m,source_time_header,source_block_time_value,interpreted_block_time_s,initial_horizontal_velocity_m_per_s,source_cached_speed_value,source_cached_speed_divisor,ramp_angle_deg,release_distance_m,background_changed,background_description,trial_note,mapping_correction
parabolic_img_0522,train,training_metadata_candidate,522,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,3,T001,IMG_522,IMG_522,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01668,0.01668,0.8213429256594723,821.342925659472,1000.0,32.0,0.2,False,,32°20cm,
parabolic_img_0523,test,frozen_test_inference_parameter_only_never_train,523,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,4,T002,IMG_523,IMG_523,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01702,0.01702,0.8049353701527614,804.935370152761,1000.0,32.0,0.2,False,,32°20cm,
parabolic_img_0524,test,frozen_test_inference_parameter_only_never_train,524,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,5,T003,IMG_524,IMG_524,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01674,0.01674,0.8183990442054957,818.399044205496,1000.0,32.0,0.2,False,,32°20cm,
parabolic_img_0525,train,training_metadata_candidate,525,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,6,T004,IMG_525,IMG_525,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01695,0.01695,0.8082595870206489,808.259587020649,1000.0,32.0,0.2,False,,32°20cm,
parabolic_img_0526,train,training_metadata_candidate,526,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,7,T005,IMG_526,IMG_526,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01663,0.01663,0.8238123872519543,823.812387251954,1000.0,32.0,0.2,False,,32°20cm,
parabolic_img_0527,train,training_metadata_candidate,527,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,8,T006,IMG_527,IMG_527,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01362,0.01362,1.0058737151248163,1005.87371512482,1000.0,32.0,0.3,False,,32°30cm,
parabolic_img_0528,train,training_metadata_candidate,528,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,9,T007,IMG_528,IMG_528,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01365,0.01365,1.0036630036630034,1003.663003663,1000.0,32.0,0.3,False,,32°30cm,
parabolic_img_0529,test,frozen_test_inference_parameter_only_never_train,529,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,10,T008,IMG_529,IMG_529,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01368,0.01368,1.0014619883040936,1001.46198830409,1000.0,32.0,0.3,False,,32°30cm,
parabolic_img_0530,train,training_metadata_candidate,530,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,11,T009,IMG_530,IMG_530,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.01368,0.01368,1.0014619883040936,1001.46198830409,1000.0,32.0,0.3,False,,32°30cm,
parabolic_img_0531,test,frozen_test_inference_parameter_only_never_train,531,complete_independent_photogate_measurement,assets/parabolic_motion/2.平抛运动实验记录表.xlsx,Trial记录,12,T010,IMG_531,IMG_531,中型钢球,中型钢球,,0.013699999999999999,0.014,0.77,轨道出口前1.2cm,0.012,光电门block_time_ms,0.0136,0.0136,1.0073529411764706,1007.35294117647,1000.0,32.0,0.3,False,,32°30cm,
